Task,Domain,Architecture,Method,Status,Repeats,AccMean,AccStd,PerSampleMsMean,OnlineCommMB,SinglePointModelExposure,MinCollusionModel,ImplementationScope,ComparisonRole,CommMeasurementBasis,Evidence
ISIC2018-CNN,medical_image,Enhanced CNN,2Cloud-D (Data-only),SUCCESS,3,0.782051282051282,0.06821729696728449,2.5847900641025636,1.3403396606445312,1,1,secure-compatible-cnn,mainline_cnn,same_cnn_prediction_behavior_formula_based_system_projection,Enhanced Conv/ReLU/MaxPool/Linear CNN; ASS secure inference preserves plaintext predictions exactly.
ISIC2018-CNN,medical_image,Enhanced CNN,ASS (Ours),SUCCESS,3,0.782051282051282,0.06821729696728449,3.0409294871794876,8.855003356933594,0,2,secure-compatible-cnn,mainline_cnn,same_cnn_prediction_behavior_formula_based_system_projection,Enhanced Conv/ReLU/MaxPool/Linear CNN; ASS secure inference preserves plaintext predictions exactly.
ISIC2018-CNN,medical_image,Enhanced CNN,Cheetah,SUCCESS,3,0.782051282051282,0.06821729696728449,4.105254807692308,155.47607421875,1,1,secure-compatible-cnn,mainline_cnn,same_cnn_prediction_behavior_formula_based_system_projection,Enhanced Conv/ReLU/MaxPool/Linear CNN; ASS secure inference preserves plaintext predictions exactly.
ISIC2018-CNN,medical_image,Enhanced CNN,Delphi,SUCCESS,3,0.782051282051282,0.06821729696728449,8786.400929487181,859.0903396606445,1,1,secure-compatible-cnn,mainline_cnn,same_cnn_prediction_behavior_formula_based_system_projection,Enhanced Conv/ReLU/MaxPool/Linear CNN; ASS secure inference preserves plaintext predictions exactly.
ISIC2018-CNN,medical_image,Enhanced CNN,Sonic,SUCCESS,3,0.782051282051282,0.06821729696728449,156.7497294871795,26.532889131456614,0,2,secure-compatible-cnn,mainline_cnn,same_cnn_prediction_behavior_formula_based_system_projection,Enhanced Conv/ReLU/MaxPool/Linear CNN; ASS secure inference preserves plaintext predictions exactly.
Diabetes,medical,MLP/FNN,2Cloud-D (Data-only),SUCCESS,3,0.7378277153558053,0.023389505611979014,0.020571161048689137,0.0529632568359375,1,1,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,"Reference-style baseline: only input data are split, model remains visible on each cloud"
Diabetes,medical,MLP/FNN,3Share-DM (3-party),SUCCESS,3,0.7378277153558053,0.023389505611979014,0.03328464419475655,0.16839599609375,0,3,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,3-share extension for data and model; evaluates the cost of adding one more party
Diabetes,medical,MLP/FNN,ASS (Ours),SUCCESS,3,0.7378277153558053,0.023389505611979014,0.02501161048689139,0.0774078369140625,0,2,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,2-share data split + 2-share model split; one-round non-linear interaction simulation
Diabetes,medical,MLP/FNN,SecureNN (3PC),SUCCESS,3,0.7378277153558053,0.023389505611979014,0.02820416666666667,4.0,0,2,simulator,mainline_mlp_fnn,task_level_proxy,Three-party SecureNN-style simulator with multi-round DReLU overhead
Digits,general,MLP/FNN,2Cloud-D (Data-only),SUCCESS,3,0.9527777777777777,0.004811252243246928,0.0057603703703703706,0.582275390625,1,1,share-simulator,mainline_mlp_fnn,analytic_estimate_with_localhost_replay,"Reference-style baseline: only input data are split, model remains visible on each cloud"
